price,fullbath,halfbath,squarefe,acres,age,cbddist,hamburgd,fayettem,parkdist,bedrooms
127500,2,0,1253,0.1800999939,6,1.73436141,5.957770348,2.386064529,0.7999958396,4
143250,2,0,1765,0.3765000105,42,1.836659074,6.17547369,2.633230209,0.5902296305,4
189500,2,0,1897,0.274300009,2,1.90252459,6.119393349,2.377239466,0.650349617,4
72500,1,1,1008,0.06419999897,13,2.091947079,6.216605186,2.214683294,0.6477231979,3
203000,3,0,2390,0.1854999959,3,1.731302857,6.027061462,2.527216673,0.7283680439,4
127000,2,0,1226,0.09640000015,5,1.72740221,5.946463585,2.378320694,0.8117978573,4
155900,2,0,1470,0.1694999933,1,1.891986489,6.102471352,2.364240646,0.668715179,6
159000,2,1,2107,0.08280000091,7,2.847266912,4.396474361,1.441874146,0.2853182554,4
114900,2,0,1365,0.2419999987,46,2.379080772,5.002733707,1.024188519,0.890202105,3
98000,1,0,943,0.08479999751,8,3.003099203,6.208792686,0.8712911606,0.6003549695,3
97500,1,0,972,0.1400000006,9,3.006424189,6.205124378,0.8620904088,0.5923697948,3
99000,1,0,912,0.08420000225,8,3.00162816,6.204724312,0.8674924374,0.5988128185,3
102500,2,0,1388,0.09700000286,7,3.010727882,6.229560375,0.8907496929,0.6086543798,3
98000,1,0,943,0.08479999751,8,3.003099203,6.208792686,0.8712911606,0.6003549695,3
64000,1,0,908,0.1717000008,75,1.875270367,5.339219093,1.521379232,1.277655602,4
106000,1,0,1643,0.2422000021,41,2.27996707,5.49349165,1.113208175,1.151496172,6
111800,2,1,1588,0.2186000049,15,2.680894613,5.803164005,0.8178570271,0.7816475034,3
96000,2,0,1350,0.2583000064,48,2.173889637,5.609318733,1.317110658,1.313692451,5
98500,2,0,1456,0.1171000004,7,3.010727882,6.229560375,0.8907496929,0.6086543798,3
118500,2,0,1452,0.2863999903,12,2.322903633,5.678198814,1.178601623,1.163809538,3
162000,2,0,1794,0.1979999989,74,1.893536806,5.147960663,1.443605065,1.073498487,5
97000,2,0,1618,0.08929999918,7,3.033874989,6.25617218,0.8997728825,0.6013555527,3
96900,1,0,1508,0.1836999953,66,1.860975742,5.271801949,1.510215521,1.207978129,4
140000,2,0,1650,0.1492000073,64,1.902336478,5.234508514,1.451821327,1.163714409,4
58000,1,0,1350,0.1342999935,71,1.855548501,5.417777061,1.587273479,1.362919211,4
111000,1,1,1782,0.2610999942,46,2.556074619,6.181560516,1.431627154,1.228699923,5
102000,2,0,1268,0.1506000012,9,3.203376055,6.822793007,1.587853432,1.117771983,3
98500,2,1,1426,0.08129999787,7,1.917630911,5.603213787,1.646360993,1.413621902,3
126500,2,0,1554,0.1471000016,11,3.090616941,6.662314415,1.45746541,1.045922875,3
116500,2,0,1208,0.1941000074,7,3.200702429,6.76115799,1.485861659,1.020298362,4
144000,2,1,1788,0.3309000134,9,3.204368353,6.690083504,1.363193631,0.9032070041,5
130000,2,0,1474,0.1879000068,7,3.19393301,6.727879524,1.438261151,0.9783321619,4
114500,2,0,1260,0.2574000061,7,3.207854033,6.69815731,1.372311354,0.9098709822,4
94900,2,1,1408,0.1234000027,11,1.917630911,5.603213787,1.646360993,1.413621902,4
114500,2,0,1162,0.1503999978,7,3.148967981,6.701272964,1.449074984,1.010035515,4
90000,2,1,1426,0.1159000024,10,1.917630911,5.603213787,1.646360993,1.413621902,4
114900,2,0,1208,0.1886000037,8,3.140028,6.6267519,1.33715117,0.9131528139,4
129000,2,0,1500,0.3228999972,7,3.202032566,6.766479969,1.49322176,1.026729703,4
105000,2,0,1268,0.1506000012,9,3.203376055,6.822793007,1.587853432,1.117771983,3
152000,2,1,1778,0.1515000015,13,3.142827272,6.737190247,1.517346144,1.076741457,5
97000,2,1,1426,0.08399999887,6,1.917630911,5.603213787,1.646360993,1.413621902,3
94000,1,0,945,0.1612000018,37,2.907214642,6.971008778,2.306379557,0.577149868,4
90000,1,1,1275,0.2389999926,38,2.585020542,6.692010403,2.27854228,0.4769825041,4
119900,2,0,1968,0.1762000024,38,2.441296339,6.549612045,2.24082303,0.5229435563,8
112000,1,1,1703,0.2021999955,38,2.783363104,6.863315582,2.290345669,0.5175934434,6
89000,1,0,1124,0.1717000008,39,2.710328579,6.915295124,2.546124458,0.2360360026,4
90000,1,1,1000,0.1570000052,37,2.667586088,6.679728985,2.109094143,0.6555775404,4
